bin_start,bin_end,at_risk,events,hazard,city
0.0,2.0,361710,12474,0.034486190594675295,Toronto
2.0,4.0,349236,68325,0.19564134281689172,Toronto
4.0,6.0,280911,163123,0.5806928172980054,Toronto
6.0,8.0,117788,76982,0.6535640302917105,Toronto
8.0,10.0,40806,19200,0.4705190413174533,Toronto
10.0,12.0,21606,5430,0.2513190780338795,Toronto
12.0,14.0,16176,1913,0.11826162215628092,Toronto
14.0,16.0,14263,757,0.053074388277361,Toronto
16.0,18.0,13506,408,0.030208796090626388,Toronto
18.0,20.0,13098,217,0.016567414872499617,Toronto
20.0,22.0,12881,117,0.009083145718500116,Toronto
22.0,24.0,12764,77,0.006032591664055155,Toronto
24.0,26.0,12687,35,0.0027587294080554897,Toronto
26.0,28.0,12652,34,0.002687322162503952,Toronto
28.0,30.0,12618,23,0.0018227928356316374,Toronto
30.0,32.0,12595,13,0.0010321556173084557,Toronto
32.0,34.0,12582,11,0.0008742648227626768,Toronto
34.0,36.0,12571,8,0.0006363853313181131,Toronto
36.0,38.0,12563,9,0.0007163893974369179,Toronto
38.0,40.0,12554,9,0.0007169029791301578,Toronto
40.0,42.0,12545,8,0.0006377042646472698,Toronto
42.0,44.0,12537,4,0.00031905559543750497,Toronto
44.0,46.0,12533,8,0.0006383148487991702,Toronto
46.0,48.0,12525,8,0.0006387225548902196,Toronto
48.0,50.0,12517,6,0.000479348086602221,Toronto
50.0,52.0,12511,3,0.0002397889856925905,Toronto
52.0,54.0,12508,3,0.00023984649824112568,Toronto
54.0,56.0,12505,3,0.00023990403838464614,Toronto
56.0,58.0,12502,3,0.00023996160614301711,Toronto
58.0,60.0,12499,3,0.0002400192015361229,Toronto
0.0,2.0,1283156,11708,0.009124377706218106,NYC
2.0,4.0,1271448,147349,0.11589070099602973,NYC
4.0,6.0,1124099,390276,0.34719006066191677,NYC
6.0,8.0,733823,231514,0.3154902476482749,NYC
8.0,10.0,502309,78657,0.1565908633928518,NYC
10.0,12.0,423652,28381,0.06699130418362241,NYC
12.0,14.0,395271,13198,0.03338975032319599,NYC
14.0,16.0,382073,7701,0.02015583409453167,NYC
16.0,18.0,374372,1828,0.004882843802421121,NYC
18.0,20.0,372544,0,0.0,NYC
20.0,22.0,372544,0,0.0,NYC
22.0,24.0,372544,0,0.0,NYC
24.0,26.0,372544,0,0.0,NYC
26.0,28.0,372544,0,0.0,NYC
28.0,30.0,372544,0,0.0,NYC
30.0,32.0,372544,0,0.0,NYC
32.0,34.0,372544,0,0.0,NYC
34.0,36.0,372544,0,0.0,NYC
36.0,38.0,372544,0,0.0,NYC
38.0,40.0,372544,0,0.0,NYC
40.0,42.0,372544,0,0.0,NYC
42.0,44.0,372544,0,0.0,NYC
44.0,46.0,372544,0,0.0,NYC
46.0,48.0,372544,0,0.0,NYC
48.0,50.0,372544,0,0.0,NYC
50.0,52.0,372544,0,0.0,NYC
52.0,54.0,372544,0,0.0,NYC
54.0,56.0,372544,0,0.0,NYC
56.0,58.0,372544,0,0.0,NYC
58.0,60.0,372544,0,0.0,NYC
